Team_ID,Year,Week,Points,Home_Away,Fumbles_Recovered,Rushing_Touchdowns,Passing_Touchdowns,Kick_Return_Yards,Kick_Return_Touchdowns,Kick_Returns,Kicking_Points,First_Downs,Third_Down_Efficiency,Fourth_Down_Efficiency,Total_Yards,Net_Passing_Yards,Completion_Attempts,Yards_Per_Pass,Rushing_Attempts,Rushing_Yards,Yards_Per_Rush_Attempt,Total_Penalty_Yards,Turnovers,Fumbles_Lost,Interceptions,Possession_Time,Punt_Return_Yards,Punt_Return_Touchdowns,Punt_Returns,Interception_Yards,Interception_Touchdowns,Passes_Intercepted,Total_Fumbles,Tackles_For_Loss,Defensive_Touchdowns,Tackles,Sacks,QB_Hurries,Passes_Deflected
0.0,2022.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,8.0,0.38461538461538464,1.0,216.0,69.0,4.0,4.928571428571429,10.0,147.0,14.7,65.0,4.0,2.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,13.0,0.0,6.0,0.0
0.0,2022.0,2.0,28.0,0.0,2.0,0.0,0.0,55.0,0.0,3.0,4.0,11.0,0.15384615384615385,0.0,179.0,44.0,23.0,1.3333333333333333,19.0,135.0,7.105263157894737,20.0,3.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.0,1.0,8.0,1.0
0.0,2023.0,1.0,14.0,1.0,2.0,0.0,1.0,69.0,0.0,2.0,2.0,11.0,0.15384615384615385,0.6666666666666666,314.0,79.0,33.0,1.8372093023255813,28.0,235.0,8.392857142857142,15.0,5.0,3.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,17.0,1.0,3.0,5.0
0.0,2023.0,2.0,7.0,1.0,2.0,1.0,0.0,22.0,0.0,1.0,1.0,2.0,0.8461538461538461,0.0,272.0,86.0,22.0,2.6875,29.0,186.0,6.413793103448276,65.0,4.0,0.0,2.0,0.44,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,17.0,2.0,10.0,4.0
1.0,2022.0,1.0,28.0,1.0,2.0,0.0,0.0,9.0,0.0,5.0,4.0,5.0,0.0,0.3333333333333333,275.0,189.0,14.0,7.875,5.0,86.0,17.2,35.0,1.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,0.0,10.0,5.0
1.0,2022.0,2.0,0.0,0.0,2.0,0.0,0.0,39.0,0.0,2.0,0.0,3.0,0.15384615384615385,0.3333333333333333,227.0,134.0,22.0,4.1875,3.0,93.0,31.0,50.0,1.0,2.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,14.0,1.0,3.0,3.0
1.0,2023.0,1.0,35.0,0.0,0.0,3.0,2.0,29.0,0.0,3.0,5.0,10.0,0.07692307692307693,0.6666666666666666,262.0,96.0,9.0,5.052631578947368,3.0,166.0,55.333333333333336,40.0,3.0,2.0,2.0,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,16.0,3.0,6.0,4.0
1.0,2023.0,2.0,14.0,0.0,3.0,0.0,1.0,78.0,0.0,2.0,2.0,0.0,1.0,0.3333333333333333,58.0,4.0,17.0,0.14814814814814814,17.0,54.0,3.176470588235294,50.0,0.0,1.0,2.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,6.0,3.0
2.0,2022.0,1.0,35.0,0.0,1.0,5.0,0.0,95.0,0.0,1.0,5.0,9.0,0.0,0.3333333333333333,17.0,2.0,16.0,0.07692307692307693,5.0,15.0,3.0,50.0,1.0,3.0,3.0,0.72,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,8.0,3.0,6.0,4.0
2.0,2022.0,2.0,35.0,1.0,3.0,0.0,5.0,70.0,0.0,0.0,5.0,4.0,0.9230769230769231,0.3333333333333333,263.0,257.0,34.0,5.840909090909091,20.0,6.0,0.3,50.0,2.0,2.0,2.0,0.72,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,1.0,7.0,1.0
