Team_ID,Year,Touchdowns,Long,Receptions,NO_A,Yards_Per_Reception,Average,Attempts,Percent,Yards_Per_Pass,Completions,Touchback,XPM,Inside_20,Field_Goal_Attempts,Passes_Defended,QB_Hurries,TFL,TOT,Solo,Sack,Fumble,Lost
0.0,2022.0,6.0,92.0,215.0,1.0,9.0,18.0,297.0,0.7239057239057239,6.515151515151516,215.0,0.0,0.0,30.0,18.0,131.0,65.0,30.0,149.0,118.0,36.0,3.0,4.0
0.0,2023.0,11.0,50.0,219.0,3.0,22.0,4.0,230.0,0.9521739130434783,20.94782608695652,219.0,3.0,7.0,27.0,12.0,113.0,70.0,50.0,101.0,55.0,21.0,3.0,0.0
1.0,2022.0,19.0,82.0,258.0,2.0,16.0,22.0,263.0,0.9809885931558935,15.695817490494296,258.0,1.0,9.0,44.0,25.0,103.0,54.0,43.0,163.0,72.0,16.0,8.0,0.0
1.0,2023.0,13.0,97.0,169.0,3.0,34.0,3.0,175.0,0.9657142857142857,32.83428571428571,169.0,3.0,6.0,25.0,9.0,114.0,70.0,49.0,154.0,91.0,10.0,9.0,1.0
2.0,2022.0,12.0,73.0,201.0,4.0,30.0,23.0,275.0,0.730909090909091,21.927272727272726,201.0,3.0,11.0,47.0,7.0,104.0,73.0,25.0,192.0,123.0,29.0,10.0,0.0
2.0,2023.0,13.0,75.0,278.0,5.0,26.0,16.0,298.0,0.9328859060402684,24.25503355704698,278.0,4.0,1.0,26.0,25.0,102.0,54.0,38.0,189.0,58.0,32.0,6.0,0.0
3.0,2022.0,8.0,66.0,295.0,4.0,35.0,21.0,380.0,0.7763157894736842,27.17105263157895,295.0,4.0,8.0,28.0,7.0,102.0,54.0,21.0,126.0,101.0,32.0,9.0,0.0
3.0,2023.0,20.0,67.0,290.0,1.0,31.0,12.0,340.0,0.8529411764705882,26.441176470588236,290.0,0.0,7.0,36.0,16.0,100.0,72.0,44.0,190.0,185.0,31.0,4.0,4.0
4.0,2022.0,19.0,81.0,206.0,1.0,33.0,6.0,271.0,0.7601476014760148,25.084870848708487,206.0,2.0,8.0,31.0,15.0,134.0,60.0,21.0,178.0,56.0,28.0,2.0,6.0
4.0,2023.0,10.0,95.0,262.0,1.0,19.0,21.0,279.0,0.9390681003584229,17.842293906810035,262.0,4.0,6.0,29.0,12.0,120.0,60.0,33.0,102.0,70.0,25.0,7.0,7.0
